브레이크 유형,수준,간격,시도 번호,선두 차량 감속률,실험 차량 평균 감속률,선두 차량 평균 속도,실험 차량 평균 속도,브레이크 평균 세기,반응 시간,Reaction_Duration,충돌여부,최소 안전 거리 유지,block_id,GSR_avg,GSR_std,GSR_max,GSR_min,GSR_range,GSR_peaks,GSR_Z_avg,GSR_Z_std,GSR_Z_max,GSR_Z_min,GSR_Z_range,GSR_Z_peaks,SCR_avg,SCR_std,SCR_max,SCR_min,SCR_range,SCR_peaks,SCR_Z_avg,SCR_Z_std,SCR_Z_max,SCR_Z_min,SCR_Z_range,SCR_Z_peaks,PPG_avg,PPG_std,PPG_max,PPG_min,PPG_range,PPG_peaks
기본제동등A,수준3,20,3,-6,-5.376818574336283,61.73893805309734,67.41150442477876,0.3390658154867257,1377.0,3101.0,False,False,95,3.996719222806179,0.23332665436614095,4.45934065934066,3.792673992673993,0.6666666666666674,1,-1.0535687624572256,0.5942021582186413,0.1234364404306063,-1.5695689237899595,1.6930053642205658,1,0.025290651377607883,0.040542845393714506,0.1054945054945069,-0.0117216117216125,0.1172161172161194,3,0.9904140818934924,1.572701655973726,4.101425891315927,-0.4456500262470466,4.547075917562974,2,1419.2387322822105,48.44702315725569,1525.2747252747251,1328.937728937729,196.3369963369962,5
기본제동등A,수준3,20,4,-6,-4.127750106194691,61.65929203539823,62.35840707964602,0.29373419035398235,1140.0000000000002,3355.0,False,False,104,4.285578765021274,0.2848450251219182,4.750417990836109,3.868864468864468,0.8815535219716408,2,0.06102013922464364,0.6324919705993755,1.092796921378987,-0.8642991750278792,1.9570960964068662,2,0.041840737659552985,0.045489564647851026,0.1233143163456755,-0.0255261579303383,0.1488404742760138,4,1.6410345905804369,1.7773306402931468,4.799113591886948,-0.9921035396564388,5.7912171315433865,4,1400.2664002664003,47.748777628669245,1495.970695970696,1309.1575091575091,186.8131868131868,3
기본제동등A,수준3,40,1,-2,-0.9405962827433629,87.38053097345133,87.64159292035399,0.040185930840707956,2009.0,2485.9999999999995,False,True,77,4.885706627866906,0.2537290559883159,5.214994065168282,4.546208727393396,0.668785337774886,1,0.43948066753353526,0.7857781479530206,1.461951458411325,-0.6124249178260491,2.074376376237374,1,0.016243918682943073,0.05285911106233789,0.0918941685492216,-0.0561575474467455,0.1480517159959671,2,0.5268756008755034,1.7100038420346986,3.001646184186319,-1.8096956443769685,4.811341828563288,2,1421.3786213786211,42.242691521217765,1494.5054945054944,1331.8681318681315,162.6373626373629,4
기본제동등A,수준3,40,2,-2,-0.10326900309734514,87.38938053097345,100.0,0.013740045575221242,3923.0,560.0,False,True,88,4.15004995004995,0.08135925695052924,4.2615384615384615,4.065201465201465,0.19633699633699653,1,-1.527584740836736,0.2853988310335353,-1.1387309952222264,-1.822848276712138,0.6841172814899115,1,0.006193806193806215,0.014859385959709936,0.0366300366300356,-0.0146520146520146,0.0512820512820502,2,0.22632664805201425,0.5191656509949157,1.289189293936329,-0.5044501539405364,1.7936394478768654,2,1368.3316683316682,34.03614197668067,1445.4212454212454,1326.007326007326,119.41391941391953,5
기본제동등A,수준3,40,3,-2,-3.1747169331858407,87.3716814159292,81.08849557522124,0.04832652623893805,2313.0,2179.0,False,True,93,3.7725433986303547,0.08483252769759939,3.9113553113553112,3.697435897435898,0.21391941391941316,1,-1.8299887929954057,0.23548047036053757,-1.4466448206832525,-2.030696203097178,0.5840513824139255,2,0.007899347029781824,0.014121180842284845,0.0366300366300365,-0.0073260073260073,0.0439560439560438,3,0.3141216164776612,0.5363212985061157,1.4062932230912215,-0.2668652671761059,1.6731584902673275,4,1392.8651059085837,42.681155090907396,1504.0293040293038,1321.6117216117216,182.41758241758225,5
기본제동등A,수준3,40,4,-2,-0.8172659398230088,87.35398230088495,90.21681415929204,0.0351114160619469,2252.0,2235.0,False,True,107,3.6955710955710956,0.012750755422234918,3.735531135531136,3.681318681318682,0.05421245421245402,1,-1.2006869433533534,0.029110290027635436,-1.1077092543671965,-1.2323474569823747,0.12463820261517822,2,0.0010656010656010498,0.0058465169995772035,0.0175824175824175,-0.0073260073260081,0.024908424908425597,5,0.05157380088566654,0.2293517891268426,0.6996027317180125,-0.2773850514887212,0.9769877832067337,5,1425.5078255078254,63.896911194589826,1567.032967032967,1326.007326007326,241.0256410256411,6
기본제동등A,수준3,40,1,-4,-1.7991470539823011,74.56194690265487,87.56194690265487,0.1100738753982301,135.0,4343.0,False,True,80,4.710504362072306,0.15329170177549642,4.913785401590279,4.495156411532718,0.41862899005756127,1,-0.0022619636685550764,0.5234257133978105,0.6927127314331616,-0.7371718419262727,1.4298845733594343,1,0.0067296234543621795,0.040148782537687014,0.0867889369631536,-0.0357366211024752,0.12252555806562879,1,0.22313952168447224,1.3244329363551575,2.86961227278277,-1.1791246837894065,4.048736956572177,1,1414.418914418914,44.225805382495196,1513.5531135531137,1348.7179487179487,164.83516483516496,5
기본제동등A,수준3,40,2,-4,-2.0560922278761065,74.57964601769912,85.39380530973452,0.03401697150442478,1966.0,2525.0,False,True,87,4.416257377929851,0.07284453024219166,4.515577337876988,4.30115761126214,0.21441972661484776,1,-0.7134155657899298,0.2566784356633663,-0.3640251523052643,-1.1200660993624028,0.7560409470571385,1,0.0006961679435547039,0.022901602650115843,0.0459470842746103,-0.020420926344272,0.0663680106188823,3,0.028600968867162624,0.7807139875838555,1.5715818118456684,-0.6921625572969677,2.263744369142636,4,1374.4255744255743,42.073112852412976,1463.003663003663,1320.14652014652,142.8571428571429,5
기본제동등A,수준3,40,3,-4,-2.917235238938053,74.570796460177,86.49115044247787,0.045289486415929205,2348.0,2141.0,False,True,91,3.901098901098902,0.014090042714975607,3.927472527472528,3.883516483516485,0.043956043956043356,1,-1.808115764536903,0.031609170356093376,-1.7464088623246432,-1.846253692414231,0.09984483008958778,1,-0.0019980019980019,0.0014683694720679817,0.0029304029304029,-0.0029304029304033,0.0058608058608062,4,-0.06050430549500305,0.05373248863582426,0.1198486114386299,-0.0947447748688445,0.2145933863074744,2,1395.038295038295,49.75983635770784,1488.6446886446886,1322.3443223443223,166.30036630036625,5
기본제동등A,수준3,40,4,-4,-1.3866892654867256,74.53539823008849,83.46017699115045,0.030707773982300887,1914.0000000000002,2721.0,False,True,103,4.119280719280719,0.23310978344475256,4.408058608058608,3.839560439560439,0.5684981684981696,0,-0.3257233751653059,0.5157528383369808,0.3131749872647172,-0.9443407403546198,1.257515727619337,1,0.017515817515817492,0.04228820788501352,0.0864468864468861,-0.0351648351648359,0.121611721611722,3,0.693078268613077,1.6563611086490453,3.400733193073279,-1.3696262173469609,4.77035941042024,2,1401.032301032301,38.36575522074369,1463.7362637362637,1342.124542124542,121.6117216117218,6
