브레이크 유형,수준,간격,감속률,시도 번호,Accel_Min,Accel_Max,Accel_Mean,Reaction_Duration,Reaction_Start_Time,block_id
점멸주파수변화제동등C,수준3,60.0,-4.0,1,-7.677078,0.9041786,-3.8307508116279068,2558.0,1944.0,73.0
점멸주파수변화제동등C,수준3,60.0,-4.0,2,-7.677078,-0.2352715,-4.258758317241379,2282.0,2209.0,87.0
점멸주파수변화제동등C,수준3,60.0,-4.0,3,-7.677078,4.21381,-5.725825108653846,2045.0,2443.0,92.0
점멸주파수변화제동등C,수준3,60.0,-4.0,4,-7.677078,-4.145622,-6.6652212625,1584.0,2914.0,100.0
점멸주파수변화제동등C,수준3,60.0,-6.0,1,-7.677078,3.423309,-4.699533469387755,2927.0,1599.0,74.0
점멸주파수변화제동등C,수준3,60.0,-6.0,2,-7.677078,-0.2322197,-3.6127249741258747,2828.0,1665.0,83.0
점멸주파수변화제동등C,수준3,60.0,-6.0,3,-7.677078,3.07188,-5.187041486111111,2866.0,1634.0,93.0
점멸주파수변화제동등C,수준3,60.0,-6.0,4,-7.677078,6.077242,-2.33750834375,3214.0,1289.0,107.0
면적변화제동등D,수준3,20.0,-2.0,1,-7.677078,2.329254,-1.6093106355633802,2851.0,1650.0,116.0
면적변화제동등D,수준3,20.0,-2.0,2,-7.677078,6.961918,-1.0042625456896552,2461.0,2204.0,121.0
면적변화제동등D,수준3,20.0,-2.0,3,-7.677078,5.715466,-2.7340443939655175,2340.0,2177.0,126.0
면적변화제동등D,수준3,20.0,-2.0,4,-7.677078,6.684494,-0.6599523071751411,3512.0,986.0,141.0
면적변화제동등D,수준3,20.0,-4.0,1,-7.677078,-0.2527237,-2.540806115028902,3434.0,1069.0,110.0
면적변화제동등D,수준3,20.0,-4.0,2,-7.677078,5.386162,-1.901414938202247,3570.0,946.0,118.0
면적변화제동등D,수준3,20.0,-4.0,3,-7.677078,-0.2487183,-2.4218569235955063,3550.0,947.0,134.0
면적변화제동등D,수준3,20.0,-4.0,4,-7.677078,2.541161,-1.9503718933701655,3562.0000000000005,925.0,138.0
면적변화제동등D,수준3,20.0,-6.0,1,-7.677078,7.087088,-5.226975915083798,3562.9999999999995,915.0,112.0
면적변화제동등D,수준3,20.0,-6.0,2,-7.677078,4.019594,-4.341790871508379,3578.0,922.0,119.0
면적변화제동등D,수준3,20.0,-6.0,3,-7.677078,6.775761,-4.168123909944751,3610.0,900.0,133.0
면적변화제동등D,수준3,20.0,-6.0,4,-7.677078,5.92885,-3.874835217679558,3604.0,884.0,143.0
면적변화제동등D,수준3,40.0,-2.0,1,-7.422924,-0.3688812,-6.370393006593406,1786.0,2676.0,108.0
면적변화제동등D,수준3,40.0,-2.0,2,-7.677078,4.209042,-3.6519982978723404,1863.9999999999998,2630.0,120.0
면적변화제동등D,수준3,40.0,-2.0,3,-7.677078,-0.339222,-1.1781179645161293,1845.0,2662.0,128.0
면적변화제동등D,수준3,40.0,-2.0,4,-0.3699303,-0.3638268,-0.36709309218749997,1260.0,3249.0,137.0
면적변화제동등D,수준3,40.0,-4.0,1,-7.677078,4.430294,-3.4140832205882354,2724.0,1782.0,109.0
면적변화제동등D,수준3,40.0,-4.0,2,-7.677078,5.510139,-2.8501954246575347,2927.0,1593.0,123.0
면적변화제동등D,수준3,40.0,-4.0,3,-7.677078,3.380585,-3.2704291507936514,2501.0,2001.0,127.0
면적변화제동등D,수준3,40.0,-4.0,4,-7.677078,5.354548,-1.44269792962963,2703.9999999999995,1800.0,142.0
면적변화제동등D,수준3,40.0,-6.0,1,-7.677078,6.282806,-2.3938944912280706,3376.0,1105.0,115.0
면적변화제동등D,수준3,40.0,-6.0,2,-7.677078,4.740572,-3.0512068958083836,3314.0,1176.0,124.0
면적변화제동등D,수준3,40.0,-6.0,3,-7.677078,1.70269,-3.3404366779141106,3239.0,1251.0,130.0
면적변화제동등D,수준3,40.0,-6.0,4,-7.677078,3.420639,-2.630769458181818,3297.0,1199.0,135.0
면적변화제동등D,수준3,60.0,-2.0,1,-0.3699303,-0.3660202,-0.3681134,757.0,3742.0,117.0
면적변화제동등D,수준3,60.0,-2.0,2,-0.3700256,-0.3604889,-0.36577776506024096,1644.0000000000002,2851.0,129.0
면적변화제동등D,수준3,60.0,-2.0,3,-7.677078,4.50201,-4.9817848890109895,1821.0,2685.0,140.0
면적변화제동등D,수준3,60.0,-4.0,1,-7.677078,7.187653,-3.401550324000001,2485.0,2021.0,111.0
면적변화제동등D,수준3,60.0,-4.0,2,-7.677078,2.780819,-3.205195767441861,2558.0,1932.0,122.0
면적변화제동등D,수준3,60.0,-4.0,3,-7.677078,3.176403,-5.250468727272727,2408.0,2102.0,131.0
면적변화제동등D,수준3,60.0,-4.0,4,-7.677078,3.191185,-5.038151347107439,2397.0000000000005,2121.0,139.0
면적변화제동등D,수준3,60.0,-6.0,1,-7.677078,3.600788,-5.120581311111112,2477.9999999999995,2003.0,114.0
면적변화제동등D,수준3,60.0,-6.0,2,-7.677078,2.739763,-5.095015449655173,2862.0,1622.0,125.0
면적변화제동등D,수준3,60.0,-6.0,3,-7.677078,5.491781,-6.121040969387756,2923.0,1569.9999999999998,132.0
면적변화제동등D,수준3,60.0,-6.0,4,-7.677078,3.166628,-4.352607105633804,2833.0,1663.0,136.0
