브레이크 유형,수준,간격,감속률,시도 번호,Accel_Min,Accel_Max,Accel_Mean,Reaction_Duration,Reaction_Start_Time,block_id
점멸주파수변화제동등C,수준3,60,-4,1,-7.677078,3.657198,-4.3689090773972605,2913.0000000000005,1587.0,39
점멸주파수변화제동등C,수준3,60,-4,2,-7.677078,7.766962,-0.08822619502994068,3318.0,1162.0,49
점멸주파수변화제동등C,수준3,60,-4,3,-7.677078,6.032276,-3.075711444217687,2931.0,1565.9999999999998,58
점멸주파수변화제동등C,수준3,60,-4,4,-7.677078,5.800152,-1.3078235111111112,3217.0,1290.0,68
점멸주파수변화제동등C,수준3,60,-6,1,-7.677078,7.284403,-6.310930230246913,3211.0,1291.0,36
점멸주파수변화제동등C,수준3,60,-6,2,-7.677078,5.468082,-4.980673419161676,3315.0,1165.0,45
점멸주파수변화제동등C,수준3,60,-6,3,-7.677078,-0.1918793,-3.866115428994083,3355.0,1144.0,54
점멸주파수변화제동등C,수준3,60,-6,4,-7.677078,6.643009,-2.1931881484848486,3270.0,1215.0,63
면적변화제동등D,수준3,20,-2,1,-7.677078,4.713058,-1.4079919772093021,3404.0,1099.0,73
면적변화제동등D,수준3,20,-2,2,-7.677078,2.616882,-1.7012483076923077,3376.0,1126.0,82
면적변화제동등D,수준3,20,-2,3,-7.677078,5.168438,-1.6513383414201188,3348.0,1137.0,93
면적변화제동등D,수준3,20,-2,4,-7.677078,1.54829,-1.4111444585714288,3344.0,1129.0,107
면적변화제동등D,수준3,20,-4,1,-7.677078,7.497501,-2.7684921395348834,3438.0,1068.0,76
면적변화제동등D,수준3,20,-4,2,-7.677078,-0.2461433,-2.7118820680232556,3415.0,1082.0,84
면적변화제동등D,수준3,20,-4,3,-7.677078,5.913687,-3.06596696978022,3607.0,873.0,90
면적변화제동등D,수준3,20,-4,4,-7.677078,-0.2493858,-2.445272438953489,3419.0,1077.0,104
면적변화제동등D,수준3,20,-6,1,-7.677078,7.257462,-3.2352687094972064,3580.0,920.0,75
면적변화제동등D,수준3,20,-6,2,-7.677078,7.847595,-3.9513935795454542,3477.0,998.0,87
면적변화제동등D,수준3,20,-6,3,-7.677078,-0.1367569,-4.760116551955307,3562.0000000000005,935.0,94
면적변화제동등D,수준3,20,-6,4,-7.677078,6.022453,-4.620392677976191,3338.0,1152.0,101
면적변화제동등D,수준3,40,-2,1,-7.677078,2.671671,-4.926389648120301,2645.0,1867.9999999999998,79
면적변화제동등D,수준3,40,-2,2,-7.677078,7.495975,-2.896399054545455,3251.0,1236.0,89
면적변화제동등D,수준3,40,-2,3,-7.677078,5.919552,-1.808526660130719,3012.0,1450.0,98
면적변화제동등D,수준3,40,-2,4,-7.677078,7.745075,-1.4159865573770496,2447.0,2058.0,106
면적변화제동등D,수준3,40,-4,1,-7.677078,2.722073,-2.2042042751515156,3289.0,1228.0,80
면적변화제동등D,수준3,40,-4,2,-7.677078,6.879997,-2.1220829196598645,2935.0,1556.0,85
면적변화제동등D,수준3,40,-4,3,-7.677078,-0.2333641,-3.2842856561290326,3097.0,1396.0,91
면적변화제동등D,수준3,40,-4,4,-7.677078,7.815933,-3.6007484522293,3125.0,1366.0,99
면적변화제동등D,수준3,40,-6,1,-7.677078,-0.1847267,-3.993389806586826,3312.0,1159.0,78
면적변화제동등D,수준3,40,-6,2,-7.677078,6.566715,-3.8218681345029237,3402.0,1086.0,83
면적변화제동등D,수준3,40,-6,3,-7.677078,7.105613,-5.913016172839506,3244.0,1274.0,97
면적변화제동등D,수준3,40,-6,4,-7.677078,-0.2271652,-3.0606280524390246,3243.0,1254.0,102
면적변화제동등D,수준3,60,-2,1,-7.677078,5.380249,-1.965725855395684,2805.0,1718.0,74
면적변화제동등D,수준3,60,-2,2,-7.677078,6.207085,-0.6899450382236844,2996.0,1479.0,86
