참여자번호,브레이크유형,감속정도,브레이크지속시간표준편차,브레이크세기표준편차,충돌횟수
18,A기본제동등,저감속,0.37716,0.0342,0
18,A기본제동등,고감속,0.35761,0.07575,0
18,B밝기변화제동등,저감속,0.0665,0.03117,0
18,B밝기변화제동등,고감속,0.26454,0.07785,0
18,C점멸주파수변화제동등,저감속,0.2445,0.01486,0
18,C점멸주파수변화제동등,고감속,0.42218,0.0477,0
18,D면적변화제동등,저감속,0.27018,0.02393,0
18,D면적변화제동등,고감속,0.23957,0.04869,0
19,A기본제동등,저감속,0.2845,0.02115,0
19,A기본제동등,고감속,0.39793,0.05666,0
19,B밝기변화제동등,저감속,0.41727,0.03249,0
19,B밝기변화제동등,고감속,0.45949,0.06622,0
19,C점멸주파수변화제동등,저감속,0.28094,0.02356,0
19,C점멸주파수변화제동등,고감속,0.35051,0.07182,0
19,D면적변화제동등,저감속,0.39879,0.02667,0
19,D면적변화제동등,고감속,0.42166,0.04906,0
20,A기본제동등,저감속,0.40158,0.2238,0
20,A기본제동등,고감속,0.37001,0.28689,0
20,B밝기변화제동등,저감속,0.42352,0.12171,0
20,B밝기변화제동등,고감속,0.49051,0.22515,0
20,C점멸주파수변화제동등,저감속,0.16392,0.09956,0
20,C점멸주파수변화제동등,고감속,0.5491,0.18044,0
20,D면적변화제동등,저감속,0.33649,0.10821,0
20,D면적변화제동등,고감속,0.39336,0.18564,0
21,A기본제동등,저감속,0.20728,0.07058,0
21,A기본제동등,고감속,0.42138,0.13739,0
21,B밝기변화제동등,저감속,0.32603,0.06861,0
21,B밝기변화제동등,고감속,0.47716,0.12874,0
21,C점멸주파수변화제동등,저감속,0.40785,0.08306,0
21,C점멸주파수변화제동등,고감속,0.55691,0.15993,0
21,D면적변화제동등,저감속,0.34891,0.08085,0
21,D면적변화제동등,고감속,0.39791,0.17639,0
22,A기본제동등,저감속,0.21789,0.10671,0
22,A기본제동등,고감속,0.19298,0.19319,0
22,B밝기변화제동등,저감속,0.35493,0.12811,0
22,B밝기변화제동등,고감속,0.35515,0.20784,0
22,C점멸주파수변화제동등,저감속,0.61857,0.21328,0
22,C점멸주파수변화제동등,고감속,0.50379,0.29017,0
22,D면적변화제동등,저감속,0.284,0.08384,0
22,D면적변화제동등,고감속,0.35971,0.23584,0
23,A기본제동등,저감속,0.3195,0.11913,0
23,A기본제동등,고감속,0.16307,0.22576,0
23,B밝기변화제동등,저감속,0.28981,0.15826,0
23,B밝기변화제동등,고감속,0.13892,0.27178,0
23,C점멸주파수변화제동등,저감속,0.07587,0.11765,0
23,C점멸주파수변화제동등,고감속,0.11619,0.18752,0
23,D면적변화제동등,저감속,0.26327,0.06812,0
23,D면적변화제동등,고감속,0.36878,0.18945,0
24,A기본제동등,저감속,0.35044,0.25085,0
24,A기본제동등,고감속,0.39857,0.38005,1
24,B밝기변화제동등,저감속,0.0,0.00055,0
