참여자번호,브레이크유형,고감속구간 번호,고감속구간길이,최소거리
9,C점멸주파수변화제동등,4,2.902,24.16512
9,C점멸주파수변화제동등,5,2.955,33.82455
9,C점멸주파수변화제동등,6,2.951,32.50964
9,C점멸주파수변화제동등,7,2.403,24.73976
9,C점멸주파수변화제동등,8,2.358,17.17264
9,C점멸주파수변화제동등,9,2.418,27.17953
9,C점멸주파수변화제동등,10,2.376,23.4325
9,D면적변화제동등,1,2.423,23.39623
9,D면적변화제동등,2,2.852,21.55717
9,D면적변화제동등,3,4.047,31.08969
9,D면적변화제동등,4,2.357,24.31976
9,D면적변화제동등,5,1.908,40.28625
9,D면적변화제동등,6,2.941,17.96803
9,D면적변화제동등,7,2.862,24.26178
9,D면적변화제동등,8,2.376,25.4718
9,D면적변화제동등,9,2.435,21.68111
9,D면적변화제동등,10,2.418,18.06917
10,A기본제동등,1,2.898,23.21421
10,A기본제동등,2,2.396,8.91422
10,A기본제동등,3,2.431,34.83463
10,A기본제동등,4,2.858,17.95184
10,A기본제동등,5,2.239,9.02105
10,A기본제동등,6,1.851,13.85716
10,A기본제동등,7,2.923,9.97755
10,A기본제동등,8,2.911,7.99581
10,B밝기변화제동등,1,2.866,26.97214
10,B밝기변화제동등,2,1.818,27.81768
10,B밝기변화제동등,3,2.341,11.3272
10,B밝기변화제동등,4,2.891,19.95864
10,B밝기변화제동등,5,2.381,13.01721
10,B밝기변화제동등,6,2.913,14.32609
10,B밝기변화제동등,7,2.493,23.1813
10,B밝기변화제동등,8,2.873,8.05542
10,B밝기변화제동등,9,2.378,10.25534
10,C점멸주파수변화제동등,1,2.878,17.81861
10,C점멸주파수변화제동등,2,2.463,34.49532
10,C점멸주파수변화제동등,3,2.369,8.37063
10,C점멸주파수변화제동등,4,2.885,16.50144
10,C점멸주파수변화제동등,5,2.905,10.77347
10,C점멸주파수변화제동등,6,1.942,11.91469
10,C점멸주파수변화제동등,7,2.391,10.12484
10,D면적변화제동등,1,2.389,16.07965
10,D면적변화제동등,2,2.811,14.47869
10,D면적변화제동등,3,2.506,31.61762
10,D면적변화제동등,4,2.229,16.97502
10,D면적변화제동등,5,2.889,18.725
10,D면적변화제동등,6,1.541,17.35582
10,D면적변화제동등,7,1.933,21.61311
10,D면적변화제동등,8,2.304,11.52934
11,A기본제동등,1,2.863,9.26737
11,A기본제동등,2,2.389,10.63971
11,A기본제동등,3,2.611,17.02521
11,A기본제동등,4,2.317,12.78646
11,A기본제동등,5,2.431,14.90149
11,A기본제동등,6,1.791,27.83071
11,A기본제동등,7,2.461,10.36821
11,A기본제동등,8,2.383,11.58531
11,B밝기변화제동등,1,2.902,18.93937
11,B밝기변화제동등,2,2.432,34.97778
11,B밝기변화제동등,3,2.345,14.70703
11,B밝기변화제동등,4,2.898,11.80984
11,B밝기변화제동등,5,2.327,17.48284
11,B밝기변화제동등,6,1.839,17.39864
11,B밝기변화제동등,7,2.969,19.6489
11,B밝기변화제동등,8,2.852,16.0713
11,C점멸주파수변화제동등,1,2.437,31.61144
11,C점멸주파수변화제동등,2,2.398,22.30014
11,C점멸주파수변화제동등,3,2.398,20.48228
11,C점멸주파수변화제동등,4,2.337,19.79999
11,C점멸주파수변화제동등,5,2.622,21.20902
11,C점멸주파수변화제동등,6,2.857,19.21665
11,C점멸주파수변화제동등,7,2.901,19.53407
11,C점멸주파수변화제동등,8,2.514,31.84783
11,C점멸주파수변화제동등,9,1.656,23.3329
11,D면적변화제동등,1,2.383,10.51164
11,D면적변화제동등,2,2.661,16.17739
11,D면적변화제동등,3,1.815,16.68841
11,D면적변화제동등,4,2.891,9.28095
11,D면적변화제동등,5,2.255,11.09167
11,D면적변화제동등,6,2.397,25.5716
11,D면적변화제동등,7,2.894,13.666
11,D면적변화제동등,8,2.875,12.21262
12,A기본제동등,1,2.869,23.14132
12,A기본제동등,2,2.824,19.86767
12,A기본제동등,3,2.899,16.61469
12,A기본제동등,4,2.373,15.73527
12,A기본제동등,5,2.383,20.57937
12,A기본제동등,6,2.907,39.97832
12,A기본제동등,7,2.425,21.11195
12,A기본제동등,8,2.344,17.67577
12,A기본제동등,9,1.759,23.98113
12,A기본제동등,10,2.368,32.545
12,B밝기변화제동등,1,2.408,23.34068
12,B밝기변화제동등,2,2.323,22.15734
12,B밝기변화제동등,3,2.867,35.4789
12,B밝기변화제동등,4,2.959,17.07214
12,B밝기변화제동등,5,2.394,21.49479
