User,BrakeType,Event,Trial_no,Event_period,Speed_avg,Handle_avg,Brake_avg,Speed_std,Handle_std,Brake_std,Brake_feq,GSR_avg,GSR_std,GSR_max,GSR_min,GSR_range,GSR_peaks,GSR_Z_avg,SCR_avg,SCR_std,SCR_max,SCR_min,SCR_range,GSR_time_to_stable,SCR_duration_unstable,SCR_peaks,SCR_Z_avg,PPG_avg,PPG_std,PPG_max,PPG_min,PPG_range,PPG_peaks,HR_bpm,HRV_ibi,SDNN,RMSSD,pNN50,Leye_dist_avg,Reye_dist_avg,Leye_open_avg,Reye_open_avg,Leye_blink_rate,Reye_blink_rate,eye_blink_rate,Angry_avg,Disgust_avg,Fear_avg,Happy_avg,Neutral_avg,Sad_avg,Surprise_avg,Emotion1,Emotion2
11,C,1,1,283.0,,,,,,,,3.5284391896545606,3.0992225478435267,11.959004990363876,0.6866375272738,11.272367463090076,68,0.06642093720028056,-0.00035990601144665553,0.006332994857403168,0.050892807803315,-0.0202294208485032,0.0711222286518182,1123208201.0,69979,161,0.004593622992115436,1395.8364912818954,240.327155042226,2812.454212454212,0.0,2812.454212454212,2130,64.24649176327028,933.903133903134,140.6795950083633,139.8957306376566,0.3218884120171674,2.103747336979689,2.0458723165022557,0.9837287104622872,0.961830900243309,0.21201413427561838,0.5618374558303887,0.6113074204946997,0.16003394023753043,0.012638962604923965,0.15104217978315085,0.007681326698725671,0.3981813346548053,0.23259978606189174,0.03782247078090025,Neutral,Sad
12,D,1,1,267.0,,,,,,,,2.9432476546193556,2.485238629067654,11.435875085442367,0.6764431851539864,10.75943190028838,34,-0.030754926594134122,-0.00046745882035129614,0.006669274233350795,0.0564354170832279,-0.0281472006316692,0.0845826177148971,1123410142.0,46844,91,0.1308818363254774,1392.4173409008574,269.0317754517547,2805.8608058608056,0.0,2805.8608058608056,1133,62.264150943396224,963.6363636363636,135.2125328267213,134.98971154211057,0.35555555555555557,1.846297336923368,1.8191443750779968,0.9787997390737116,0.9673842139595564,0.13857677902621723,0.21722846441947566,0.25842696629213485,0.15212643090313113,0.012372281474135683,0.1563199454618395,0.010497713291324201,0.3936630229944554,0.2230612695146771,0.05195933717609263,Neutral,Sad
13,A,1,1,287.0,,,,,,,,2.607324742316269,1.3514145254992624,6.513017364166955,1.018994268297983,5.494023095868972,88,-0.12947192014532624,-0.0004953477816629237,0.0072808920231041,0.0936698036762657,-0.074178375552619,0.1678481792288847,518551254.0,64086,164,0.07204410987133157,1395.7245119487684,276.99416285970494,2777.289377289377,0.0,2777.289377289377,2276,64.99250374812594,923.1833910034602,157.12238502641935,137.02375780893485,0.3469387755102041,1.4128953376885736,1.5238252092856752,0.9402615765288088,0.9263579592317662,1.0975609756097562,1.4181184668989546,1.8954703832752613,0.13076592958710972,0.008678891347841404,0.13815076541839286,0.016219900561028636,0.4469262128944857,0.2192279263622717,0.04003037416551196,Neutral,Sad
14,B,1,1,304.0,,,,,,,,2.701706155310851,1.7659649689944992,7.183139056612963,1.060692038887611,6.122447017725352,52,0.10276932316565943,-0.000500644194083452,0.007589644007699924,0.0737359439933997,-0.0454661980566042,0.1192021420500039,518439252.0,44595,132,-0.06591080466075856,1394.4994160557233,274.8656012714459,2799.267399267399,0.0,2799.267399267399,1535,53.57142857142857,1120.0,128.2853961179637,143.3197144168957,0.43243243243243246,1.361268725545328,1.458109384654643,0.9693951466859834,0.9507424846070265,0.4934210526315789,0.6644736842105263,0.756578947368421,0.12170674623089461,0.008045527093873595,0.13448939200470847,0.01117774054890076,0.46710980345164793,0.21130143296541107,0.04616935758991308,Neutral,Sad
15,C,1,1,262.0,,,,,,,,3.8229302142757056,2.2107254914111105,8.092338969755065,1.5622037127875503,6.530135256967515,44,-0.11463086245224936,8.463318416695956e-05,0.006146358110452822,0.0333243527721012,-0.0242066508992713,0.057531003671372496,431806134.0,37291,85,0.02800270617477333,1391.7634821698298,302.0330408545963,2812.454212454212,0.0,2812.454212454212,1076,70.27463651050081,853.7931034482758,113.27153195943619,78.21538888750429,0.11764705882352941,1.4958794195399283,1.704721932612179,0.9565342544617156,0.9024179620034543,0.38549618320610685,0.7557251908396947,0.8816793893129771,0.12027114570437536,0.007747664632314335,0.12430536797150259,0.01098428944597294,0.5007686930109384,0.2064139765607369,0.0295088630025331,Neutral,Sad
16,D,1,1,304.0,,,,,,,,2.2998520940210168,0.6069855935673342,3.961056495482031,1.0845845986975784,2.8764718967844525,53,0.0027815174246045953,-6.194632348065161e-05,0.005534427575682151,0.0304737608764824,-0.0192743345424122,0.0497480954188946,1036566729.0,46761,79,-0.02433633507542549,1392.0260339572756,270.99358656550874,2805.8608058608056,0.0,2805.8608058608056,1301,55.18590998043052,1087.2340425531916,115.07078538714859,155.36386656646633,0.603448275862069,1.3723512076715751,1.4940253783818436,0.9666333666333666,0.9568431568431568,0.3881578947368421,0.4769736842105263,0.5328947368421053,0.1490266896017982,0.010626086194013985,0.14530028743796203,0.012443141934241758,0.4143645208633367,0.23310118263276722,0.03513809178395605,Neutral,Sad
17,A,1,1,248.0,,,,,,,,2.6929084463191413,1.3652906642521534,5.186076083919779,0.6715155886377616,4.514560495282017,49,-0.006045478503030596,-0.00013001521323393505,0.006435312685599021,0.0341567196850687,-0.0181559143848208,0.052312634069889494,32002.0,38486,78,-0.012691161801227837,1394.0873743012783,251.83885894517712,2780.9523809523807,0.0,2780.9523809523807,1070,70.01897533206831,856.910569105691,118.30874642979671,152.92029095125142,0.35384615384615387,1.745609821224011,1.8275585138369912,0.9728637413394919,0.9526558891454965,0.056451612903225805,0.17338709677419356,0.1935483870967742,0.24128088686143187,0.029210285639087757,0.19745161996651267,0.01450973522165127,0.22742521693822168,0.2583063273891455,0.03181592710779446,Sad,Sad
18,B,1,1,249.0,,,,,,,,2.162049023344798,0.6040815141283206,3.3738601272963784,0.9057276607780592,2.4681324665183193,20,-0.11324140398897851,8.076177141892594e-06,0.0060363794265191825,0.0217629970486912,-0.0154027575280613,0.0371657545767525,605069775.0,9066,31,-0.03642377903711875,1381.19728131196,213.84699034648546,1954.5787545787543,0.0,1954.5787545787543,414,70.37773359840953,852.542372881356,105.53484797327523,116.28037994676221,0.29577464788732394,2.2358825411817036,2.3472250052364076,0.9928400954653938,0.9880668257756563,0.008032128514056224,0.01606425702811245,0.01606425702811245,0.25675016335560863,0.028320770993794753,0.21992877868735086,0.005647050677088306,0.2109633089976134,0.22956731596658714,0.04882261235727924,Angry,Fear
19,C,1,1,244.0,,,,,,,,2.709017515615465,1.0119182112627587,4.681631820684377,1.4909346947172577,3.190697125967119,27,0.16067111422651553,0.0004024622981911097,0.007597532520957708,0.035206187914619,-0.0186347879742987,0.0538409758889177,,23829,44,0.055550086294457325,1390.518011003841,293.3882279623829,2812.454212454212,0.0,2812.454212454212,620,78.90818858560795,760.377358490566,123.12435188963455,172.18321295506544,0.6352941176470588,1.929486141631657,2.292857508538287,0.9780564263322884,0.9623824451410659,0.02459016393442623,0.045081967213114756,0.045081967213114756,0.24242107427586207,0.027427648718181822,0.22475272968495297,0.0075413311882445155,0.23229511428526647,0.20335645003134797,0.062205652511755485,Angry,Fear
20,D,1,1,249.0,,,,,,,,1.5341854780635857,0.6137249154810362,2.739743271822713,0.8574884891664052,1.8822547826563079,28,-0.02897816657005374,0.00020460533068129106,0.007583780408512249,0.0419052557298222,-0.023396138238656,0.0653013939684782,259194760.0,21247,51,0.0451419099356703,1391.6623059480203,194.10752171290616,2046.153846153846,0.0,2046.153846153846,588,73.35164835164835,817.9775280898876,100.81517678179753,141.04271738853532,0.2887700534759358,2.4205717496751005,2.1685631065983695,1.0,0.9715909090909091,0.0,0.004016064257028112,0.004016064257028112,0.19691228753409093,0.015385969886363636,0.17646047630681816,0.004659768326704546,0.30976252767045453,0.2604554421022728,0.03636352809659091,Neutral,Sad
