timestamp,date,time,time(ms),GSR,GSR_z,SCR,SCR_z,PPG,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise,Emotion,Leye_X,Leye_Y,Reye_X,Reye_Y,Leye_open,Reye_open
1062421,2024-10-15,11:02:09,1728957729300 ,4.964837717,-0.253225227,-0.010210463,-0.166739226,1367.032967,0.14692399,0.012826351,0.19950975,0.021028874,0.3117031,0.23459563,0.073412254,Neutral,343,188,431,189,0,0
1068974,2024-10-15,11:02:09,1728957729504 ,4.954627254,-0.262961648,-0.010210463,-0.166739226,1507.692308,0.106290944,0.008341327,0.1898256,0.020290362,0.37621737,0.17353465,0.12549974,Neutral,337,183,429,186,1,1
1075527,2024-10-15,11:02:09,1728957729675 ,4.949522023,-0.267829859,-0.005105232,-0.079165489,1438.827839,0.09743826,0.005568258,0.12847106,0.01968198,0.5140981,0.20015834,0.034583982,Neutral,338,182,429,185,1,1
1082080,2024-10-15,11:02:09,1728957729946 ,4.949522023,-0.267829859,0,0.008408249,1369.96337,0.11007356,0.008728092,0.18935528,0.020780535,0.37718195,0.17917144,0.114709094,Neutral,337,183,430,185,1,1
1088633,2024-10-15,11:02:10,1728957730134 ,4.944416791,-0.27269807,-0.005105232,-0.079165489,1566.300366,0.12605785,0.009760496,0.1823155,0.017067026,0.37989622,0.21011582,0.07478706,Neutral,337,183,428,185,1,1
1095186,2024-10-15,11:02:10,1728957730320 ,4.93931156,-0.277566281,-0.005105232,-0.079165489,1405.860806,0.10478917,0.007700262,0.17872714,0.019433724,0.40715316,0.17885424,0.103342295,Neutral,337,183,428,186,1,1
1101739,2024-10-15,11:02:10,1728957730493 ,4.929101096,-0.287302702,-0.010210463,-0.166739226,1362.637363,0.10940352,0.006418675,0.1418625,0.013327616,0.4765744,0.21415663,0.03825668,Neutral,336,182,428,185,1,1
1108292,2024-10-15,11:02:10,1728957730687 ,4.918890633,-0.297039123,-0.010210463,-0.166739226,1358.974359,0.11636403,0.008805512,0.1818673,0.01821549,0.39167237,0.19604424,0.0870311,Neutral,337,183,429,186,1,1
1114845,2024-10-15,11:02:10,1728957730876 ,4.918890633,-0.297039123,0,0.008408249,1479.120879,0.11760512,0.007174301,0.14653504,0.013090803,0.45279607,0.22664154,0.036156997,Neutral,337,182,428,185,1,1
1121398,2024-10-15,11:02:11,1728957731066 ,4.90868017,-0.306775545,-0.010210463,-0.166739226,1398.534799,0.12788673,0.00989808,0.1847424,0.015936272,0.3747654,0.20987703,0.076894045,Neutral,337,182,429,185,1,1
1127951,2024-10-15,11:02:11,1728957731322 ,4.903574938,-0.311643756,-0.005105232,-0.079165489,1333.333333,0.11432278,0.006510807,0.13946003,0.010895621,0.47184625,0.22437477,0.03258979,Neutral,337,182,429,185,1,1
1134504,2024-10-15,11:02:11,1728957731478 ,4.903574938,-0.311643756,0,0.008408249,1485.714286,0.13119659,0.010208885,0.18459184,0.015640067,0.37145424,0.21415152,0.07275687,Neutral,337,183,429,186,1,1
1141057,2024-10-15,11:02:11,1728957731711 ,4.898469707,-0.316511966,-0.005105232,-0.079165489,1383.150183,0.14412455,0.011291609,0.18240792,0.014339943,0.35733342,0.23430389,0.056198675,Neutral,338,182,429,186,1,1
1154163,2024-10-15,11:02:12,1728957732091 ,4.888259244,-0.326248388,-0.005105232,-0.079165489,1321.611722,0.13897319,0.008697709,0.14870383,0.009109181,0.41436598,0.2531691,0.026980933,Neutral,336,183,429,186,1,1
1160716,2024-10-15,11:02:12,1728957732278 ,4.883154012,-0.331116599,-0.005105232,-0.079165489,1473.992674,0.12512225,0.010055218,0.18990299,0.017963244,0.36875692,0.19943371,0.08876569,Neutral,338,183,430,186,1,1
1265564,2024-10-15,11:02:15,1728957735445 ,4.796365075,-0.413876181,-0.005105232,-0.079165489,1415.384615,0.13814189,0.011091477,0.19208294,0.012522852,0.3563345,0.21001476,0.07981162,Neutral,337,181,429,185,1,1
